Pattern,Count,Loss_per_Roll,roll_length,grade
"650, 700, 700, 700, 700, 700, 700",29,30,2150,A
"720, 720, 740, 740, 740, 740",25,480,2150,A
"790, 790, 790, 790, 790, 790",16,140,2150,A
"787, 787, 787, 787, 787, 787",14,158,2150,A
"1090, 1140, 1140, 1140",13,370,2150,A
"600, 600, 600, 600, 600, 600, 600, 600",11,80,2150,A
"750, 750, 750, 750, 787, 787",10,306,2150,A
"864, 1000, 1000, 1000, 1000",9,16,2150,A
"864, 864, 864, 890, 890",9,508,2150,A
"650, 650, 650, 650, 650, 650, 650",9,330,2150,A
"914, 914, 914, 1000, 1000",9,138,2150,A
"650, 1050, 1050, 1050, 1050",8,30,2150,A
"890, 890, 890, 890, 890",8,430,2150,A
"788, 788, 788, 788, 790, 790",7,148,2150,A
"914, 1300, 1300, 1300",7,66,2150,A
"914, 1310, 1310, 1310",7,36,2150,A
"740, 740, 750, 750, 750, 750",4,400,2150,A
"650, 840, 840, 840, 840, 840",4,30,2150,A
"720, 720, 720, 720, 720, 720",3,560,2150,A
"1140, 1140, 1140, 1140",2,320,2150,A
"890, 890, 890, 890, 914",2,406,2150,A
"890, 1310, 1335, 1335",1,10,2150,A
"1452, 1452, 1452",1,524,2150,A
"750, 1335, 1335, 1452",1,8,2150,A
"750, 1020, 1020, 1020, 1050",1,20,2150,A
"600, 1050, 1050, 1050, 1090",1,40,2150,A
"860, 860, 864, 864, 864",1,568,2150,A
"840, 1000, 1000, 1020, 1020",1,0,2150,A
"600, 840, 840, 840, 860, 860",1,40,2150,A
"860, 860, 860, 860, 860",1,580,2150,A
"720, 790, 840, 840, 840, 840",1,10,2150,A
"787, 787, 787, 787, 787, 788",1,157,2150,A
"650, 650, 650, 650, 650, 650, 700",1,280,2150,A
"700, 720, 720, 720, 720, 720",1,580,2150,A
"600, 600, 650, 650, 650, 650, 650",1,430,2150,A
"600, 600, 600, 600",1,2480,2150,A
"740, 1100, 1500, 1500",1,40,3040,A
"850, 850, 850, 850, 1100",1,380,3040,A
"740, 740, 740, 740, 790, 790",1,340,3040,A
"740, 740, 740, 740, 740, 740",1,440,3040,A
"720, 720, 720, 740, 740, 740",1,500,3040,A
"720, 720, 720, 720, 720, 720",1,560,3040,A
"660, 660, 660, 660, 720, 720, 720",1,80,3040,A
"660, 660, 660, 660, 660, 660, 660",1,260,3040,A
"600, 600, 660, 660",1,2360,3040,A
