Pattern,Count,Loss_per_Roll
2462(814*3)*1465*940,40,33
2462(814*3)*2420(800*3),14,18
1716(848*2)*1648(814*2)*1480(730*2),11,56
2462(814*3)*2408(1194*2),10,30
1848(914*2)*1648(814*2)*1370(450*3),9,34
2120*1648(814*2)*1112,6,20
2564(848*3)*1360*884,4,92
1650(815*2)*1648(814*2)*1565,4,37
1798(889*2)*1798(889*2)*1180(580*2),3,124
2204(1092*2)*1520(750*2)*1112,3,64
2384(788*3)*2384(788*3),3,132
1770*1648(814*2)*1470(725*2),3,12
2462(814*3)*1460(720*2)*870,3,108
1748(864*2)*1648(814*2)*1500(740*2),3,4
2462(814*3)*2410(1195*2),2,28
2612(864*3)*2270(750*3),2,18
2384(788*3)*2381(787*3),2,135
2390(790*3)*2390(790*3),2,120
1798(889*2)*1798(889*2)*1140(560*2),2,164
2512(623*4)*2384(788*3),2,4
2512(623*4)*2381(787*3),2,7
1648(814*2)*1410(695*2)*970*870,2,2
1670*1648(814*2)*1550(510*3),2,32
1865*1648(814*2)*1265,2,122
2240(740*3)*1500(740*2)*1112,2,48
2170*1550(765*2)*1165,2,15
2255(745*3)*1510(745*2)*1112,2,23
1798(889*2)*1798(889*2)*1120(550*2),2,184
1665*1648(814*2)*1540(760*2),2,47
1770(875*2)*1648(814*2)*1470(725*2),2,12
2612(864*3)*2270(750*3),1,18
2580(640*4)*2315(765*3),1,5
2580(640*4)*2315(765*3),1,5
1848(914*2)*1840(910*2)*1140(560*2),1,72
1910(945*2)*1900(940*2)*960,1,130
2150(710*3)*1820(900*2)*920,1,10
2381(787*3)*2381(787*3),1,138
2315(765*3)*1580(780*2)*934,1,71
2270(750*3)*1520(750*2)*934,1,176
2512(623*4)*2360(780*3),1,28
2620(650*4)*2270(750*3),1,10
2620(650*4)*2270(750*3),1,10
2512(623*4)*2360(780*3),1,28
2360(780*3)*1580(780*2)*895,1,65
2255(745*3)*1510(745*2)*1112,1,23
2512(623*4)*2315(765*3),1,73
2070*1520(750*2)*1266(623*2),1,44
2204(1092*2)*1520(750*2)*1112,1,64
2150(710*3)*1720*980,1,50
1990(985*2)*1765*1005,1,140
1865*1820*1065,1,150
1920*1870*1065,1,45
2200(545*4)*1770(875*2)*905,1,25
2564(848*3)*2330(770*3),1,6
1798(889*2)*1790(885*2)*1120(550*2),1,192
1848(914*2)*1820(900*2)*1190(585*2),1,42
2408(796*3)*2390(790*3),1,102
2384(788*3)*2381(787*3),1,135
1820*1648(814*2)*1370,1,62
2408(796*3)*2390(790*3),1,102
1775(585*3)*1648(814*2)*1450(715*2),1,27
2495(825*3)*1360*884,1,161
2210(730*3)*1480(730*2)*965,1,245
2120(1050*2)*1690(835*2)*1070,1,20
2020*1648(814*2)*1120(550*2),1,112
1970*1648(814*2)*1120(550*2),1,162
2204(1092*2)*1648(814*2)*965,1,83
1841(607*3)*1234(607*2)*884*884,1,57
